#OTU ID	Bagnoud_soil3	Bagnoud_soil2	Humbert1_enrich	Humbert1_VS	Humbert1_Cad	Humbert1_CdV	Humbert1_LL	Humbert1_LN	Humbert1_Cam	Humbert1_GC	Humbert1_Bo	Zhu_2011	Dong_2010	Humbert2_soil3	Humbert2_LL	Hu_2011	Sher_2012	Hu_2013	Wang_2013	Shen_2013	Han_2013	Shen_2014	Yang_2015	Shen_2015	Shen_2016	Sato_2012	Naeher_2015
OTU104	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU16	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	1	0	1	0	8	0	0	0	1	0
OTU18	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0
OTU96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
OTU13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	2	0	0	0
OTU3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	22	0	0	0	0	0	0
OTU7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	23	0	0	0	0	0	0
OTU111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
